sim_index,route_name,route_type,phase,leg_index,minute_from_start,leg_minute,from_wpt,to_wpt,from_name,to_name,lat_deg,lon_deg,cog_deg,sog_knots,distance_from_start_nm,distance_to_go_nm
0,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,0,0,0,1,2,WaitArea,Join,1.3255833333333331,104.23525000000001,190.60614884566561,12.0,0.0,22.228731557682007
1,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,0,1,1,1,2,WaitArea,Join,1.3223800002892263,104.23464999691008,190.60614884566561,12.0,0.19567252322913004,22.033059034452876
2,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,0,2,2,1,2,WaitArea,Join,1.3191766671001546,104.23404999536886,190.60614884566561,12.0,0.39134504645826007,21.837386511223748
3,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,0,3,3,1,2,WaitArea,Join,1.3159733337664692,104.23344999537262,190.60614884566561,12.0,0.58701756968739,21.641713987994617
4,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,0,4,4,1,2,WaitArea,Join,1.3127700002885232,104.2328499969176,190.60614884566561,12.0,0.7826900929165201,21.446041464765486
5,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,1,5,0,2,3,Join,IsoLtb,1.309566666666667,104.23225,243.48453335951837,12.0,0.9783626161456502,21.250368941536358
6,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,1,6,1,2,3,Join,IsoLtb,1.308031496532561,104.22917220719964,243.48453335951837,12.0,1.1848233534118808,21.043908204270124
7,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,1,7,2,2,3,Join,IsoLtb,1.3064963226253379,104.22609441816523,243.48453335951837,12.0,1.3912840906781114,20.837447467003894
8,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,1,8,3,2,3,Join,IsoLtb,1.3049611449494327,104.22301663289237,243.48453335951837,12.0,1.597744827944342,20.630986729737664
9,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,1,9,4,2,3,Join,IsoLtb,1.3034259635092798,104.21993885137661,243.48453335951837,12.0,1.8042055652105726,20.424525992471434
10,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,1,10,5,2,3,Join,IsoLtb,1.301890778309313,104.21686107361356,243.48453335951837,12.0,2.0106663024768032,20.218065255205204
11,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,1,11,6,2,3,Join,IsoLtb,1.3003555893539671,104.21378329959879,243.48453335951837,12.0,2.217127039743034,20.011604517938974
12,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,1,12,7,2,3,Join,IsoLtb,1.2988203966476766,104.21070552932788,243.48453335951837,12.0,2.4235877770092644,19.805143780672744
13,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,1,13,8,2,3,Join,IsoLtb,1.2972852001948763,104.20762776279642,243.48453335951837,12.0,2.630048514275495,19.598683043406513
14,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,2,14,0,3,4,IsoLtb,EasternLtb,1.29575,104.20455,261.47142245150883,12.0,2.8365092515417256,19.392222306140283
15,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,2,15,1,3,4,IsoLtb,EasternLtb,1.295262043684262,104.20129529314299,261.47142245150883,12.0,3.0340578968545437,19.194673660827462
16,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,2,16,2,3,4,IsoLtb,EasternLtb,1.2947740831903354,104.19804058753944,261.47142245150883,12.0,3.231606542167362,18.997125015514644
17,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,2,17,3,3,4,IsoLtb,EasternLtb,1.2942861185197971,104.1947858831889,261.47142245150883,12.0,3.42915518748018,18.799576370201827
18,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,2,18,4,3,4,IsoLtb,EasternLtb,1.293798149674223,104.1915311800909,261.47142245150883,12.0,3.626703832792998,18.60202772488901
19,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,2,19,5,3,4,IsoLtb,EasternLtb,1.2933101766551895,104.18827647824497,261.47142245150883,12.0,3.8242524781058163,18.40447907957619
20,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,2,20,6,3,4,IsoLtb,EasternLtb,1.2928221994642728,104.18502177765065,261.47142245150883,12.0,4.021801123418634,18.206930434263374
21,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,2,21,7,3,4,IsoLtb,EasternLtb,1.2923342181030488,104.18176707830749,261.47142245150883,12.0,4.219349768731453,18.009381788950556
22,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,2,22,8,3,4,IsoLtb,EasternLtb,1.291846232573094,104.178512380215,261.47142245150883,12.0,4.416898414044271,17.811833143637735
23,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,2,23,9,3,4,IsoLtb,EasternLtb,1.2913582428759844,104.17525768337275,261.47142245150883,12.0,4.614447059357089,17.614284498324917
24,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,2,24,10,3,4,IsoLtb,EasternLtb,1.2908702490132968,104.17200298778026,261.47142245150883,12.0,4.811995704669907,17.4167358530121
25,P.Gudang WaitArea - PEBGA,SEA,PILOT_TO_PILOT,2,25,11,3,4,IsoLtb,EasternLtb,1.2903822509866072,104.16874829343706,261.47142245150883,12.0,5.0095443499827255,17.21918720769928
