sim_index,route_name,route_type,phase,leg_index,minute_from_start,leg_minute,from_wpt,to_wpt,from_name,to_name,lat_deg,lon_deg,cog_deg,sog_knots,distance_from_start_nm,distance_to_go_nm
0,SUEZ CANAL NB,SEA,PILOT_TO_PILOT,0,0,0,1,2,Suez1,Suez2,29.8519,32.55391666666666,352.63893705194414,10.0,0.0,94.84595360554319
1,SUEZ CANAL NB,SEA,PILOT_TO_PILOT,0,1,1,1,2,Suez1,Suez2,29.854615885361113,32.553512125122964,352.63893705194414,10.0,0.16441809392486226,94.68153551161832
2,SUEZ CANAL NB,SEA,PILOT_TO_PILOT,0,2,2,1,2,Suez1,Suez2,29.857331769488997,32.55310756156601,352.63893705194414,10.0,0.3288361878497245,94.51711741769346
3,SUEZ CANAL NB,SEA,PILOT_TO_PILOT,0,3,3,1,2,Suez1,Suez2,29.860047652383425,32.55270297599218,352.63893705194414,10.0,0.49325428177458674,94.3526993237686
4,SUEZ CANAL NB,SEA,PILOT_TO_PILOT,0,4,4,1,2,Suez1,Suez2,29.862763534044216,32.5522983683979,352.63893705194414,10.0,0.657672375699449,94.18828122984374
5,SUEZ CANAL NB,SEA,PILOT_TO_PILOT,0,5,5,1,2,Suez1,Suez2,29.865479414471164,32.55189373877954,352.63893705194414,10.0,0.8220904696243113,94.02386313591887
6,SUEZ CANAL NB,SEA,PILOT_TO_PILOT,0,6,6,1,2,Suez1,Suez2,29.868195293664048,32.55148908713349,352.63893705194414,10.0,0.9865085635491735,93.85944504199401
7,SUEZ CANAL NB,SEA,PILOT_TO_PILOT,0,7,7,1,2,Suez1,Suez2,29.87091117162268,32.55108441345616,352.63893705194414,10.0,1.1509266574740358,93.69502694806916
8,SUEZ CANAL NB,SEA,PILOT_TO_PILOT,0,8,8,1,2,Suez1,Suez2,29.873627048346865,32.55067971774393,352.63893705194414,10.0,1.315344751398898,93.53060885414429
9,SUEZ CANAL NB,SEA,PILOT_TO_PILOT,0,9,9,1,2,Suez1,Suez2,29.876342923836376,32.5502749999932,352.63893705194414,10.0,1.4797628453237603,93.36619076021942
