sim_index,route_name,route_type,phase,leg_index,minute_from_start,leg_minute,from_wpt,to_wpt,from_name,to_name,lat_deg,lon_deg,cog_deg,sog_knots,distance_from_start_nm,distance_to_go_nm
0,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,0,0,0,1,2,Plt Johor,IsoLt,1.3150833333333332,104.11835000000002,191.2596269709632,15.0,0.0,15.38961667499871
1,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,0,1,1,1,2,Plt Johor,IsoLt,1.3112166671387393,104.11757999525639,191.2596269709632,15.0,0.23671252627531167,15.152904148723398
2,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,0,2,2,1,2,Plt Johor,IsoLt,1.3073500007074097,104.1168099928916,191.2596269709632,15.0,0.47342505255062334,14.916191622448085
3,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,0,3,3,1,2,Plt Johor,IsoLt,1.3034833340400438,104.11603999289862,191.2596269709632,15.0,0.710137578825935,14.679479096172775
4,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,0,4,4,1,2,Plt Johor,IsoLt,1.2996166671373408,104.11526999527044,191.2596269709632,15.0,0.9468501051012467,14.442766569897463
5,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,1,5,0,2,3,IsoLt,Join,1.2957500000000002,104.1145,223.27149741072836,15.0,1.1835626313765584,14.206054043622151
6,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,1,6,1,2,3,IsoLt,Join,1.2929888915486343,104.11189999434802,223.27149741072836,15.0,1.4112442452916176,13.978372429707091
7,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,1,7,2,2,3,IsoLt,Join,1.2902277804356261,104.10929999435206,223.27149741072836,15.0,1.638925859206677,13.750690815792032
8,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,8,0,3,4,Join,Ferry,1.2874666666666665,104.1067,257.8476487479824,15.0,1.8666074731217366,13.523009201876974
9,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,9,1,3,4,Join,Ferry,1.2865776471532961,104.10257047704124,257.8476487479824,15.0,2.1201653149609543,13.269451360037756
10,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,10,2,3,4,Join,Ferry,1.2856886209588843,104.09844095696057,257.8476487479824,15.0,2.3737231568001715,13.015893518198538
11,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,11,3,3,4,Join,Ferry,1.2847995880880527,104.09431143975604,257.8476487479824,15.0,2.6272809986393892,12.76233567635932
12,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,12,4,3,4,Join,Ferry,1.2839105485454247,104.09018192542568,257.8476487479824,15.0,2.8808388404786065,12.508777834520103
13,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,13,5,3,4,Join,Ferry,1.2830215023356233,104.08605241396751,257.8476487479824,15.0,3.134396682317824,12.255219992680885
14,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,14,6,3,4,Join,Ferry,1.282132449463271,104.08192290537957,257.8476487479824,15.0,3.387954524157042,12.001662150841668
15,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,15,7,3,4,Join,Ferry,1.2812433899329914,104.07779339965988,257.8476487479824,15.0,3.6415123659962596,11.74810430900245
16,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,16,8,3,4,Join,Ferry,1.2803543237494064,104.07366389680647,257.8476487479824,15.0,3.895070207835477,11.494546467163232
17,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,17,9,3,4,Join,Ferry,1.2794652509171394,104.06953439681737,257.8476487479824,15.0,4.148628049674695,11.240988625324015
18,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,18,10,3,4,Join,Ferry,1.2785761714408137,104.06540489969062,257.8476487479824,15.0,4.402185891513912,10.987430783484797
19,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,19,11,3,4,Join,Ferry,1.277687085325052,104.06127540542424,257.8476487479824,15.0,4.6557437333531295,10.73387294164558
20,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,20,12,3,4,Join,Ferry,1.2767979925744772,104.05714591401626,257.8476487479824,15.0,4.909301575192347,10.480315099806361
21,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,21,13,3,4,Join,Ferry,1.2759088931937126,104.05301642546472,257.8476487479824,15.0,5.162859417031564,10.226757257967146
22,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,22,14,3,4,Join,Ferry,1.2750197871873812,104.04888693976764,257.8476487479824,15.0,5.416417258870782,9.973199416127928
23,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,23,15,3,4,Join,Ferry,1.2741306745601055,104.04475745692304,257.8476487479824,15.0,5.669975100709999,9.71964157428871
24,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,24,16,3,4,Join,Ferry,1.273241555316509,104.04062797692897,257.8476487479824,15.0,5.923532942549217,9.466083732449492
25,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,25,17,3,4,Join,Ferry,1.2723524294612154,104.03649849978345,257.8476487479824,15.0,6.177090784388435,9.212525890610275
26,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,26,18,3,4,Join,Ferry,1.2714632969988469,104.03236902548451,257.8476487479824,15.0,6.4306486262276525,8.958968048771057
27,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,27,19,3,4,Join,Ferry,1.270574157934027,104.02823955403016,257.8476487479824,15.0,6.684206468066869,8.705410206931841
28,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,28,20,3,4,Join,Ferry,1.269685012271379,104.02411008541847,257.8476487479824,15.0,6.937764309906087,8.451852365092623
29,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,29,21,3,4,Join,Ferry,1.268795860015526,104.01998061964744,257.8476487479824,15.0,7.191322151745305,8.198294523253406
30,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,30,22,3,4,Join,Ferry,1.2679067011710914,104.01585115671513,257.8476487479824,15.0,7.4448799935845225,7.944736681414187
31,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,31,23,3,4,Join,Ferry,1.267017535742698,104.01172169661952,257.8476487479824,15.0,7.69843783542374,7.691178839574969
32,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,32,24,3,4,Join,Ferry,1.2661283637349698,104.00759223935866,257.8476487479824,15.0,7.951995677262958,7.437620997735752
33,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,2,33,25,3,4,Join,Ferry,1.265239185152529,104.00346278493059,257.8476487479824,15.0,8.205553519102175,7.184063155896535
34,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,3,34,0,4,5,Ferry,Mano,1.2643499999999999,103.99933333333334,248.6340606491879,15.0,8.459111360941392,6.930505314057317
35,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,3,35,1,4,5,Ferry,Mano,1.2628719789235234,103.9955543475386,248.6340606491879,15.0,8.702688733067308,6.686927941931401
36,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,3,36,2,4,5,Ferry,Mano,1.2613939523551372,103.99177536604189,248.6340606491879,15.0,8.946266105193223,6.443350569805487
37,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,3,37,3,4,5,Ferry,Mano,1.2599159203012764,103.98799638883823,248.6340606491879,15.0,9.189843477319139,6.199773197679571
38,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,3,38,4,4,5,Ferry,Mano,1.2584378827683773,103.98421741592256,248.6340606491879,15.0,9.433420849445053,5.956195825553657
39,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,3,39,5,4,5,Ferry,Mano,1.2569598397628763,103.98043844728986,248.6340606491879,15.0,9.676998221570969,5.712618453427741
40,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,3,40,6,4,5,Ferry,Mano,1.2554817912912077,103.97665948293513,248.6340606491879,15.0,9.920575593696883,5.469041081301826
41,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,3,41,7,4,5,Ferry,Mano,1.2540037373598092,103.97288052285334,248.6340606491879,15.0,10.1641529658228,5.22546370917591
42,Singapore Plt Johor - PEBGA,SEA,PILOT_TO_PILOT,3,42,8,4,5,Ferry,Mano,1.2525256779751153,103.96910156703946,248.6340606491879,15.0,10.407730337948713,4.981886337049996
