sim_index,route_name,route_type,phase,leg_index,minute_from_start,leg_minute,from_wpt,to_wpt,from_name,to_name,lat_deg,lon_deg,cog_deg,sog_knots,distance_from_start_nm,distance_to_go_nm
0,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,0,0,0,1,2,Plt Johor,Iso Lt,1.3150833333333332,104.11835000000002,191.2596269709632,12.0,0.0,35.48255497486894
1,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,0,1,1,1,2,Plt Johor,Iso Lt,1.3118611115209635,104.11770832921493,191.2596269709632,12.0,0.19726043856275974,35.28529453630618
2,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,0,2,2,1,2,Plt Johor,Iso Lt,1.3086388895441134,104.11706666008266,191.2596269709632,12.0,0.3945208771255195,35.08803409774342
3,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,0,3,3,1,2,Plt Johor,Iso Lt,1.3054166674031875,104.11642499259908,191.2596269709632,12.0,0.5917813156882792,34.89077365918066
4,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,0,4,4,1,2,Plt Johor,Iso Lt,1.3021944450985905,104.11578332676015,191.2596269709632,12.0,0.789041754251039,34.6935132206179
5,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,0,5,5,1,2,Plt Johor,Iso Lt,1.2989722226307263,104.11514166256183,191.2596269709632,12.0,0.9863021928137987,34.496252782055144
6,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,1,6,0,2,3,Iso Lt,Join,1.2957500000000002,104.1145,223.27149741072836,12.0,1.1835626313765584,34.29899234349238
7,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,1,7,1,2,3,Iso Lt,Join,1.2929888915486343,104.11189999434802,223.27149741072836,12.0,1.4112442452916176,34.07131072957732
8,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,1,8,2,2,3,Iso Lt,Join,1.2902277804356261,104.10929999435206,223.27149741072836,12.0,1.638925859206677,33.84362911566226
9,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,9,0,3,4,Join,Ferry,1.2874666666666665,104.1067,257.8476487479824,12.0,1.8666074731217366,33.6159475017472
10,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,10,1,3,4,Join,Ferry,1.2867662276085154,104.10344643621616,257.8476487479824,12.0,2.0663803182071807,33.41617465666176
11,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,11,2,3,4,Join,Ferry,1.2860657844024783,104.10019287421918,257.8476487479824,12.0,2.266153163292625,33.21640181157632
12,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,12,3,3,4,Join,Ferry,1.285365337050817,104.09693931400808,257.8476487479824,12.0,2.465926008378069,33.01662896649087
13,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,13,4,3,4,Join,Ferry,1.284664885555792,104.0936857555819,257.8476487479824,12.0,2.665698853463513,32.81685612140543
14,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,14,5,3,4,Join,Ferry,1.2839644299196642,104.09043219893968,257.8476487479824,12.0,2.8654716985489572,32.61708327631998
15,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,15,6,3,4,Join,Ferry,1.2832639701446942,104.08717864408047,257.8476487479824,12.0,3.0652445436344014,32.41731043123454
16,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,16,7,3,4,Join,Ferry,1.282563506233144,104.08392509100328,257.8476487479824,12.0,3.2650173887198455,32.21753758614909
17,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,17,8,3,4,Join,Ferry,1.2818630381872733,104.08067153970717,257.8476487479824,12.0,3.4647902338052896,32.01776474106365
18,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,18,9,3,4,Join,Ferry,1.2811625660093438,104.07741799019115,257.8476487479824,12.0,3.6645630788907337,31.817991895978206
19,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,19,10,3,4,Join,Ferry,1.2804620897016166,104.07416444245429,257.8476487479824,12.0,3.864335923976178,31.618219050892762
20,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,20,11,3,4,Join,Ferry,1.2797616092663522,104.07091089649559,257.8476487479824,12.0,4.064108769061622,31.418446205807317
21,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,21,12,3,4,Join,Ferry,1.279061124705812,104.06765735231413,257.8476487479824,12.0,4.263881614147066,31.218673360721873
22,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,22,13,3,4,Join,Ferry,1.2783606360222566,104.06440380990891,257.8476487479824,12.0,4.46365445923251,31.01890051563643
23,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,23,14,3,4,Join,Ferry,1.277660143217947,104.06115026927897,257.8476487479824,12.0,4.663427304317954,30.819127670550984
24,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,24,15,3,4,Join,Ferry,1.2769596462951447,104.05789673042337,257.8476487479824,12.0,4.863200149403399,30.619354825465543
25,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,25,16,3,4,Join,Ferry,1.27625914525611,104.05464319334112,257.8476487479824,12.0,5.062972994488843,30.419581980380098
26,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,26,17,3,4,Join,Ferry,1.2755586401031047,104.05138965803128,257.8476487479824,12.0,5.262745839574286,30.219809135294653
27,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,27,18,3,4,Join,Ferry,1.2748581308383895,104.04813612449287,257.8476487479824,12.0,5.462518684659731,30.02003629020921
28,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,28,19,3,4,Join,Ferry,1.2741576174642255,104.04488259272492,257.8476487479824,12.0,5.6622915297451755,29.820263445123764
29,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,29,20,3,4,Join,Ferry,1.2734570999828734,104.04162906272649,257.8476487479824,12.0,5.862064374830619,29.62049060003832
30,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,30,21,3,4,Join,Ferry,1.2727565783965946,104.0383755344966,257.8476487479824,12.0,6.061837219916064,29.420717754952875
31,Singapore Plt Johor - WBGA,SEA,PILOT_TO_PILOT,2,31,22,3,4,Join,Ferry,1.2720560527076503,104.03512200803428,257.8476487479824,12.0,6.261610065001507,29.220944909867434
