sim_index,route_name,route_type,phase,leg_index,minute_from_start,leg_minute,from_wpt,to_wpt,from_name,to_name,lat_deg,lon_deg,cog_deg,sog_knots,distance_from_start_nm,distance_to_go_nm
0,Zeebrugge - Bremerhaven,SEA,PILOT_TO_PILOT,0,0,0,1,2,WandPS,TCWand,51.36998333333333,2.71535,359.51502385020376,10.0,0.0,263.29315216878064
1,Zeebrugge - Bremerhaven,SEA,PILOT_TO_PILOT,0,1,1,1,2,WandPS,TCWand,51.37272115399306,2.7153128761127117,359.51502385020376,10.0,0.16438589316970556,263.12876627561093
2,Zeebrugge - Bremerhaven,SEA,PILOT_TO_PILOT,0,2,2,1,2,WandPS,TCWand,51.375458974641056,2.7152757477851748,359.51502385020376,10.0,0.3287717863394111,262.9643803824412
3,Zeebrugge - Bremerhaven,SEA,PILOT_TO_PILOT,0,3,3,1,2,WandPS,TCWand,51.37819679527731,2.715238615016423,359.51502385020376,10.0,0.4931576795091167,262.7999944892715
4,Zeebrugge - Bremerhaven,SEA,PILOT_TO_PILOT,0,4,4,1,2,WandPS,TCWand,51.380934615901836,2.7152014778054894,359.51502385020376,10.0,0.6575435726788222,262.6356085961018
5,Zeebrugge - Bremerhaven,SEA,PILOT_TO_PILOT,0,5,5,1,2,WandPS,TCWand,51.38367243651462,2.715164336151407,359.51502385020376,10.0,0.8219294658485278,262.4712227029321
6,Zeebrugge - Bremerhaven,SEA,PILOT_TO_PILOT,0,6,6,1,2,WandPS,TCWand,51.38641025711566,2.715127190053209,359.51502385020376,10.0,0.9863153590182334,262.3068368097624
7,Zeebrugge - Bremerhaven,SEA,PILOT_TO_PILOT,0,7,7,1,2,WandPS,TCWand,51.38914807770496,2.715090039509928,359.51502385020376,10.0,1.150701252187939,262.1424509165927
8,Zeebrugge - Bremerhaven,SEA,PILOT_TO_PILOT,0,8,8,1,2,WandPS,TCWand,51.39188589828251,2.7150528845205977,359.51502385020376,10.0,1.3150871453576445,261.97806502342297
9,Zeebrugge - Bremerhaven,SEA,PILOT_TO_PILOT,0,9,9,1,2,WandPS,TCWand,51.3946237188483,2.715015725084248,359.51502385020376,10.0,1.47947303852735,261.81367913025326
